


SongNum|SongID      |SongName                                          |SongAlbum                               |SongArtist                    |LrcSts         |ErrorInfo
223    |4010226     |Excuse                                            |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
224    |4010223     |Thirteen                                          |Minecraft - Volume Alpha                |C418                          |EXISTED        |×<NO_LYRIC_LABEL>
225    |4010220     |Chris                                             |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
226    |4010216     |Clark                                             |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
227    |4010213     |Wet Hands                                         |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
228    |4010210     |Dry Hands                                         |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
229    |4010207     |Mice on Venus                                     |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
230    |4010205     |Équinoxe                                          |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
231    |4010203     |Oxygène                                           |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
232    |4010198     |Haggstrom                                         |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
233    |4010195     |Moog City                                         |Minecraft - Volume Alpha                |C418                          |NOLYRICS       |×<NO_LYRIC_LABEL>
